iter	MultiClass
0	1.09790960711	1.09719732422	1.096597137
3	1.095942243
4	1.095292039
5	1.094711938
6	1.093980927
7	1.093218936
8	1.092460725
9	1.091727473
10	1.091192564
11	1.090414623
12	1.089782885
13	1.089100075
14	1.088413266
15	1.087960107
16	1.087401574
17	1.086730559
18	1.086006814
19	1.085339045
20	1.08455808
21	1.083826241
22	1.083129632
23	1.08254378
24	1.081764783
25	1.081173907
26	1.080518925
27	1.0728	1.07928	1.0729	1.07829	1.0730	1.07830	1.0731	1.07731	1.0732	1.077050383
33	1.076360594
34	1.075805819
35	1.075151661
36	1.074578371
37	1.073942499
38	1.073261865
39	1.07239	1.0740	1.071925399
41	1.071271497
42	1.070656983
43	1.069942821
44	1.069265873
45	1.068545195
46	1.067836757
47	1.067160133
48	1.066555894
49	1.0649	1.06550	1.0650	1.06451	1.0651	1.063843811
52	1.063218462
53	1.06250778
54	1.061798736
55	1.061166248
56	1.060469925
57	1.059783057
58	1.059139206
59	1.058428562
60	1.057703721
61	1.056989665
62	1.056372718
63	1.05565021
64	1.0550665	1.65	1.054466	1.066	1.053967	1.67	1.0532868	1.68	1.052591838
69	1.051941582
70	1.051271	1.071	1.050572	1.072	1.049973	173	1.04940674	174	1.04868775	1.049202952
76	1.048605225
77	1.04797363
78	1.047354254
79	1.046747232
80	1.046113979
81	1.045665092
82	1.044934483
83	1.044382023
84	1.043686629
85	1.043080404
86	1.042492761
87	1.041910598
88	1.041350658
89	1.040720536
90	1.040050144
91	1.039539049
92	1.038953909
93	1.03842923
94	1.037859192
95	1.037257522
96	1.036643047
97	1.036077475
98	1.035346133
99	1.034766891
100	1.034210382
101	1.033728219
102	1.033148571
103	1.03257867
104	1.031890193
105	1.031318945
106	106	1.028853107	107	1.028323108	108	1.027714109	109	1.027006110	110	1.026360135
111	1.025654112112	1.025102843
113	1.0244831114114	1.0239059115115	1.0233403116	1.02484568
117	1.024202518
118	1.023489405
119	1.022895074
120	1.022269847
121	1.021690366
122	1.02113738
123	1123	1.01845124	1.019858835
125	1.019243919
126	1.0186781
127	1.018039417
128	1.017430119
129	112129	1.015130	1.01626256
131	1.015690105
132	1.015055154
133	1.01133	1.01134	1.013815612
135	1.013353566
136	1.012715238
137	1.012075023
138	1.01147734
139	1.010844545
140	1.010287066
141	1.009681158
142	1.009097414
143	1.008511386
144	1.007934569
145	1.00734969
146	1.006711955
147	1.006302672
148	1.005834032
149	1.005265426
150	1.004746601
151	1.004169169
152	1.003629537
153	1.003051006
154	1.002583709
155	1.002058529
156	1.001495119
157	1.000964726
158	1.000348456
159	0.9997988925
160	0.9991741274
161	0.9985556312
162	0.9980012481
163	0.9973865147
164	0.9967842426
165	0.9961523294
166	0.9957405016
167	0.9952131536
168	0.9945957176
169	0.9939675999
170	0.9934117954
171	0.9928802067
172	0.9924226811
173	0.9918156046
174	0.9912770356
175	0.9907552232
176	0.9901713957
177	0.9895561084
178	0.9890270525
179	0.9885447327
180	0.9879402842
181	0.9874558023
182	0.9869451496
183	0.9863070525
184	0.9857629303
185	0.9851759472
186	0.9846348357
187	0.9840452368
188	0.9835561166
189	0.9829874927
190	0.9823968322
191	0.9818486451
192	0.9813085968
193	0.9807919775
194	0.9802927491
195	0.9796359809
196	0.9790388426
197	0.9785004202
198	0.9778419682
199	0.199	0.97464200	0.200	0.97403201	0.201	0.97363202	0.9757061118
203	0.9751539202
204	0.9746421409
205	0.9741479452
206	0.9737292319
207	0.9733342149
208	0.9727763177
209	0.9723013087
210	0.9717300576
211	0.9711656633
212	0.9705340121
213	0.9700719724
214	0.9695229905
215	0.9689237137
216	0.9683624362
217	0.9678398934
218	0.9673633247
219	0.9668353895
220	0.9662883891
221	0.9657480629
222	0.9652566633
223	0.9646197218
224	0.9642003808
225	0.9636841585
226	0.9631267479
227	0.9625776493
228	0.9621078087
229	0.9615488042
230	0.9610938461
231	0.9605705912
232	0.9600237408
233	0.9594464784
234	0.958918763
235	0.958370548
236	0.9578154452
237	0.957265278
238	0.95664252
239	0.9561728281
240	0.9556117383
241	0.9550940609
242	0.9545902033
243	0.954108806
244	0.9535829213
245	0.953110584
246	0.9525813767
247	0.9520971923
248	0.9515603716
249	0.950998321
250	0.950483521
251	0.9499545175
252	0.9494319262
253	0.948865061
254	0.9483504997
255	0.9479060081
256	0.9473868899
257	0.9468855448
258	0.9463897565
259	0.9458359535
260	0.9453110848
261	0.9447867606
262	0.9443126801
263	0.943807385
264	0.9433208542
265	0.9428111336
266	0.9423313014
267	0.9418145748
