iter	Passed	Remaining
0	0	642
1	1	625
2	2	637
3	3	654
4	4	634
5	5	614
6	6	626
7	7	620
8	8	609
9	9	608
10	10	604
11	11	604
12	12	611
13	12	607
14	13	588
15	14	584
16	15	582
17	15	577
18	16	553
19	17	556
20	18	559
21	19	562
22	19	542
23	20	542
24	20	529
25	21	534
26	22	533
27	23	531
28	24	532
29	25	533
30	25	532
31	26	531
32	27	529
33	28	528
34	29	531
35	30	532
36	31	531
37	31	530
38	32	530
39	33	530
40	34	530
41	35	526
42	35	524
43	36	524
44	38	528
45	38	524
46	39	523
47	39	516
48	40	515
49	41	516
50	42	514
51	43	515
52	44	513
53	44	513
54	46	514
55	46	513
56	47	512
57	48	511
58	49	510
59	50	509
60	51	510
61	51	509
62	52	506
63	53	505
64	54	504
65	55	503
66	55	502
67	56	502
68	57	501
69	58	500
70	59	500
71	60	500
72	61	500
73	61	495
74	61	489
75	62	485
76	62	484
77	63	483
78	64	482
79	65	482
80	66	481
81	67	481
82	67	477
83	68	477
84	69	477
85	69	475
86	70	474
87	71	469
88	71	469
89	72	468
90	73	468
91	74	467
92	75	467
93	75	462
94	76	460
95	76	459
96	77	460
97	78	460
98	79	459
99	80	458
100	81	458
101	81	456
102	82	453
103	83	452
104	84	452
105	84	450
106	85	449
107	86	450
108	87	449
109	87	446
110	88	445
111	89	445
112	89	442
113	89	438
114	90	438
115	91	438
116	92	436
117	93	437
118	94	436
119	95	436
120	95	435
121	96	434
122	97	433
123	98	431
124	99	431
125	99	431
126	100	431
127	101	431
128	102	430
129	103	428
130	103	427
131	104	426
132	105	425
133	106	425
134	107	424
135	107	423
136	108	423
137	109	422
138	110	422
139	111	422
140	112	421
141	112	419
142	113	418
143	114	417
144	115	416
145	116	416
146	116	413
147	117	412
148	118	412
149	119	412
150	119	412
151	120	410
152	121	409
153	122	409
154	122	408
155	123	408
156	124	407
157	125	406
158	126	406
159	127	406
160	128	405
161	129	404
162	129	404
163	130	403
164	131	402
165	132	402
166	133	401
167	134	401
168	135	401
169	136	400
170	136	399
171	137	398
172	138	397
173	139	397
174	139	394
175	140	394
176	141	393
177	142	394
178	143	393
179	144	392
180	144	390
181	145	389
182	145	388
183	146	388
184	147	385
185	148	385
186	148	384
187	149	383
188	150	382
189	151	382
190	152	381
191	153	381
192	153	380
193	154	378
194	154	377
195	155	377
196	156	376
197	157	376
198	158	375
199	159	374
200	160	374
201	161	373
202	161	372
203	162	371
204	163	370
205	164	370
206	165	369
207	166	368
208	167	368
209	168	368
210	168	367
211	169	366
212	170	365
213	170	364
214	171	363
215	172	362
216	173	362
217	174	361
218	174	360
219	176	360
220	176	359
221	177	358
222	178	356
223	178	356
224	179	355
225	179	353
226	180	352
227	181	351
228	182	351
229	183	350
230	184	350
231	184	348
232	185	347
233	186	347
234	187	346
235	187	344
236	188	343
237	189	343
238	189	342
239	190	341
240	191	341
241	192	340
242	193	340
243	194	339
244	195	338
245	195	337
246	196	336
247	197	336
248	198	335
249	199	334
250	200	334
251	201	333
252	201	332
253	202	331
254	202	330
255	203	329
256	204	328
257	205	328
258	206	327
259	207	326
260	208	326
261	208	325
262	209	324
263	210	323
264	211	322
265	212	322
266	212	321
267	213	319
268	214	319
269	215	318
270	215	317
271	216	317
272	217	316
273	218	315
274	218	314
275	219	313
276	220	312
277	220	311
278	221	310
279	222	309
280	223	309
281	224	308
282	224	307
283	225	306
284	226	305
285	226	304
286	227	303
287	228	303
288	229	302
289	230	301
290	230	300
291	231	299
292	232	299
293	233	298
294	233	297
295	234	296
296	235	295
297	236	294
298	236	294
299	237	292
300	238	291
301	238	290
302	239	289
303	240	289
304	241	288
305	241	287
306	242	286
307	243	285
308	244	285
309	244	284
310	245	283
311	246	282
312	246	281
313	247	280
314	248	280
315	249	279
316	250	278
317	250	277
318	251	276
319	251	275
320	252	274
321	253	274
322	254	273
323	255	272
324	256	271
325	257	271
326	257	270
327	258	269
328	259	268
329	260	268
330	261	267
331	262	266
332	262	265
333	263	265
334	264	264
335	265	263
336	266	263
337	267	262
338	267	261
339	268	260
340	269	259
341	270	259
342	271	258
343	272	257
344	273	257
345	273	256
346	274	255
347	275	254
348	275	253
349	276	252
350	277	252
351	277	250
352	278	249
353	278	248
354	279	248
355	280	247
356	281	246
357	281	245
358	282	244
359	283	243
360	284	243
361	284	242
362	285	241
363	286	240
364	287	240
365	288	239
366	288	238
367	289	237
368	290	236
369	290	235
370	291	235
371	292	234
372	293	233
373	293	232
374	294	231
375	295	231
376	296	230
377	297	229
378	297	228
379	298	227
380	299	227
381	300	226
382	300	225
383	301	224
384	302	223
385	302	222
386	303	222
387	304	221
388	305	220
389	306	220
390	307	219
391	308	218
392	308	217
393	309	216
394	310	216
395	311	215
396	311	214
397	312	213
398	313	212
399	314	212
400	315	211
401	315	210
402	316	209
403	316	208
404	317	208
405	318	206
406	318	205
407	319	205
408	320	204
409	321	203
410	321	202
411	322	201
412	323	201
413	324	200
414	324	199
415	325	198
416	325	197
417	326	197
418	327	196
419	328	195
420	329	195
421	330	194
422	331	193
423	332	192
424	333	191
425	333	191
426	334	190
427	335	189
428	335	188
429	336	187
430	337	187
431	338	186
432	339	185
433	340	185
434	341	184
435	341	183
436	342	182
437	343	182
438	344	181
439	345	180
440	346	179
441	347	179
442	348	178
443	349	177
444	349	176
445	350	176
446	351	175
447	352	174
448	353	173
449	353	173
450	355	172
451	355	171
452	356	170
453	357	170
454	358	169
455	358	168
456	359	167
457	360	166
458	361	165
459	361	165
460	363	164
461	363	163
462	364	163
463	365	162
464	365	161
465	366	160
466	367	159
467	370	159
468	377	161
469	379	161
470	389	164
471	390	163
472	390	162
473	391	161
474	392	161
475	395	161
476	397	160
477	398	160
478	399	159
479	400	158
480	401	157
481	402	157
482	403	156
483	404	155
484	405	154
485	406	153
486	406	152
487	407	152
488	408	151
489	409	150
490	410	149
491	410	148
492	411	147
493	412	146
494	413	146
495	413	145
496	414	144
497	415	143
498	415	142
499	416	141
500	417	140
501	418	139
502	419	139
503	419	138
504	420	137
505	421	136
506	422	135
507	422	134
508	423	133
509	424	133
510	425	132
511	425	131
512	426	130
513	427	129
514	428	128
515	428	127
516	429	127
517	430	126
518	430	125
519	431	124
520	432	123
521	433	122
522	434	122
523	435	121
524	435	120
525	436	119
526	437	118
527	438	117
528	438	116
529	439	116
530	440	115
531	441	114
532	441	113
533	442	112
534	443	111
535	444	111
536	445	110
537	446	109
538	446	108
539	447	107
540	447	106
541	448	105
542	449	105
543	450	104
544	450	103
545	452	102
546	452	101
547	453	101
548	454	100
549	455	99
550	456	98
551	456	97
552	457	96
553	458	96
554	459	95
555	460	94
556	461	93
557	462	92
558	463	91
