iter	Passed	Remaining
0	12	779811	18	561722	29	6128
3	34	5250
4	37	4607
5	41	4227
6	45	3968
7	48	3697
8	53	3643
9	59	3613
10	61	3383
11	64	3237
12	67	3149
13	71	3062
14	75	3015
15	76	2864
16	80	2847
17	84	2796
18	88	2797
19	92	2767
20	98	2782
21	101	2753
22	104	2705
23	108	2671
24	112	2668
25	117	2669
26	121	2647
27	124	2622828	129	2632929	133	2623030	158	2983131	173	31732	187	3313
33	192	3293
34	196	3266
35	201	3245
36	205	3215
37	208	3180
38	212	3146
3939	212	30640	219	3076
41	223	3058
42	229	3064
43	233	3038
44	236	3009
45	240	2991
46	244	2969
47	248	2945
48	252	2929
4949	250	2845050	256	2845151	262	2852
52	267	2847
53	271	2834
54	276	2826
55	281	2823
56	285	2802
57	288	2784
58	292	2768
59	297	2765
60	300	2742
61	305	2731
62	309	2723
63	314	2714
64	318	2706565	321	2686666	325	2666767	328	2656868	333	2646
69	337	2634
70	341	2627171	343	2607272	347	2597373	352	2587474	356	25775	364	2591
76	370	2595
77	374	2590
78	378	2579
79	383	2574
80	386	2555
81	389	2540
82	392	2524
83	394	2505884	400	2505885	404	2496
86	409	2494
87	413	2483
88	418	2481
89	422	2476
90	428	2474
91	431	2462
92	435	2454
93	440	2452
94	445	2448
95	450	2445
96	454	2433
97	457	2421
98	460	2407
99	463	2397
100	467	2388
101	471	2383
102	477	2382
103	482	2378
104	487	2375
105	490	2366
10106	490	23310107	494	23310108	498	23210109	502	23111110	507	23111111	510	23011112	515	2301
113	521	22911114	522	22811115	526	227116	533	2278
117	536	2270
118	542	2268
119	546	2262
120	549	2254
121	554	2249
122	558	2243
12123	561	223124	569	2242
125	574	2239
12126	574	221127	579	2215
128	583	2206129129	580	211130	589	2188
131	593	2181
132	598	2179
13133	598	215134	606	2166
135	611	2161
136	617	2164
137	622	2160
138	627	2157
139	632	2154
140	637	2153
141	642	2147
142	648	2148
143	652	2143
144	657	2139
145	661	2135
146	666	2131
147	667	2114
148	671	2108
149	674	2101
150	680	2099
151	685	2097
152	690	2094
153	695	2092
154	700	2089
155	704	2081
156	709	2077
157	713	2073
158	718	2068
159	722	2063
160	726	2057
161	731	2055
162	736	2052
163	741	2047
164	745	2042
165	749	2037
166	750	2021
167	753	2013
168	757	2007
169	761	2002
170	764	1994
171	768	1988
172	769	1974
173	775	1975
174	779	1969
175	783	1964
176	788	1960
177	794	1960
178	799	1956
179	803	1950
180	806	1943
181	812	1942
182	816	1936
183	820	1930
184	824	1924
185	829	1922
186	834	1919
187	838	1914
188	845	1914
189	848	1906
190	854	1905
191	858	1900
192	863	1896
193	867	1892
194	871	1886
195	875	1880
196	880	1877
197	886	1876
198	890	1870
19199	891	18520200	895	18520201	899	184202	905	1846
203	909	1841
204	914	1837
205	919	1833
206	923	1829
207	924	1817
208	929	1814
209	934	1811
210	939	1807
211	943	1802
212	947	1797
213	950	1789
214	955	1786
215	961	1784
216	969	1787
217	974	1783
218	978	1778
219	983	1775
220	987	1769
221	990	1762
222	995	1759
223	998	1752
224	1002	1746
225	1006	1740
226	1009	1735
227	1010	1724
228	1015	1721
229	1019	1714
230	1024	1712
231	1029	1707
232	1032	1701
233	1037	1698
234	1040	1691
235	1045	1687
236	1049	1682
237	1053	1677
238	1057	1672
239	1061	1668
240	1067	1665
241	1070	1659
242	1074	1654
243	1077	1647
244	1083	1645
245	1088	1641
246	1092	1636
247	1097	1633
248	1102	1629
249	1106	1624
250	1109	1617
251	1114	1613
252	1118	1609
253	1123	1605
254	1129	1603
255	1132	1596
256	1137	1593
257	1141	1588
258	1149	1588
259	1154	1585
260	1158	1580
261	1164	1577
262	1168	1573
263	1173	1569
264	1179	1566
265	1185	1564
266	1190	1560
267	1194	1555
268	1196	1547
269	1226	1576
270	1230	1571
271	1233	1564
272	1238	1560
273	1239	1551
274	1243	1546
275	1247	1541
276	1253	1538
277	1258	1534
278	1262	1528
279	1265	1523
280	1270	1518
281	1274	1514
282	1279	1509
283	1284	1505
284	1290	1503
285	1294	1498
286	1297	1491
287	1301	1487
288	1305	1482
289	1310	1477
290	1312	1470
291	1315	1464
292	1319	1459
293	1324	1455
294	1329	1450
295	1332	1445
296	1336	1440
297	1338	1432
298	1342	1427
299	1346	1423
300	1350	1418
301	1354	1412
302	1358	1408
303	1364	1404
304	1368	1399
305	1371	1394
306	1376	1389
307	1380	1385
308	1382	1378
309	1387	1374
310	1391	1369
311	1393	1361
312	1396	1356
313	1403	1353
314	1407	1349
315	1407	1341
316	1412	1336
317	1414	1330
318	1418	1324
319	1421	1319
320	1425	1314
321	1429	1309
322	1433	1304
323	1438	1300
324	1443	1296
325	1446	1291
326	1450	1286
327	1454	1281
328	1457	1275
329	1460	1269
330	1464	1265
331	1467	1259
332	1472	1255
333	1475	1250
334	1480	1246
335	1486	1242
336	1487	1236
337	1492	1232
338	1494	1225
339	1498	1221
340	1502	1216
341	1510	1214
342	1515	1211
343	1521	1207
344	1524	1201
345	1526	1195
346	1530	1190
347	1535	1186
348	1543	1185
349	1548	1181
350	1551	1176
351	1556	1171
352	1557	1164
353	1562	1160
354	1568	1157
355	1572	1152
356	1576	1148
357	1581	1144
358	1585	1139
359	1591	1136
360	1594	1130
361	1599	1126
362	1601	1120
363	1604	1115
364	1608	1110
365	1613	1106
366	1616	1101
367	1622	1098
368	1626	1092
369	1629	1087
370	1632	1082
371	1637	1078
372	1641	1073
373	1646	1069
374	1650	1065
375	1655	1060
376	1659	1056
377	1663	1051
378	1671	1049
379	1674	1044
380	1678	1039
381	1684	1036
382	1688	1031
383	1692	1026
384	1696	1022
385	1700	1017
386	1703	1012
387	1708	1008
388	1712	1003
389	1714	998
390	1719	993
391	1724	990
392	1729	985
393	1732	980
394	1736	976
395	1739	970
396	1743	966
397	1749	962
398	1753	957
399	1757	953
400	1761	949
401	1765	944
402	1770	939
403	1774	935
404	1778	930
405	1782	926
406	1786	921
407	1789	916
408	1793	912
409	1798	908
410	1802	903
411	1808	899
412	1812	895
413	1818	891
414	1822	887
415	1828	883
416	1832	878
417	1838	875
418	1844	871
419	1849	867
420	1852	862
421	1857	858
422	1861	853
423	1862	847
424	1866	843
425	1870	838
426	1874	834
427	1878	829
428	1884	826
429	1889	821
430	1893	817
431	1897	812
432	1901	808
433	1906	803
434	1911	799
435	1914	794
436	1916	789
437	1920	784
438	1924	780
439	1928	775
440	1931	770
441	1935	766
442	1940	762
443	1944	757
444	1948	753
445	1952	748
446	1957	744
447	1960	739
448	1964	735
449	1967	730
450	1972	725
451	1975	721
452	1979	716
453	1980	711
454	1986	707
455	1990	702
456	1996	699
457	2000	694
458	2002	689
459	2004	684
460	2008	679
461	2010	674
462	2013	669
463	2017	665
464	2020	660
465	2021	655
466	2026	650
467	2026	645
468	2029	640
469	2033	635
470	2037	631
471	2037	626
472	2041	621
473	2045	617
474	2051	613
475	2055	608
476	2057	603
477	2061	599
478	2063	594
479	2067	590
480	2072	586
481	2077	582
482	2082	577
483	2085	573
484	2089	568
485	2093	564
486	2096	559
487	2099	555
488	2104	550
489	2107	546
490	2112	542
491	2116	537
492	2120	533
493	2124	528
494	2128	524
495	2131	520
496	2136	515
497	2160	516
498	2169	512
499	2174	508
500	2175	503
501	2180	499
502	2181	494
503	2185	490
504	2190	485
505	219506	21506	219507	21507	220508	21508	220509	22509	2212	464
510	2216	459
511	2221	455
512	2227	451
513	2231	447
514	2235	442
515	2238	438
516	2241	433
517	2246	429
518	2249	424
519	2252	420
520	2256	415
521	2262	411
522	2266	407
523	2269	402
524	2274	398
525	2280	394
526	2282	389
527	2286	385
528	2289	380
529	2293	376
530	2297	372
531	2301	367
532	2305	363
533	2309	358
534	2313	354
535	2317	350
536	2322	345
537	2328	341
538	2333	337
539	2337	333
540	2337	328
541	2342	324
542	2347	319
543	2347	315
544	2352	310
545	2357	306
546	2361	302
547	2366	297
548	2370	293
549	2373	289
550	2379	284
551	2383	280
552	2389	276
553	2394	272
554	2398	267
555	2404	263
556	2405	259
557	2408	254
558	2412	250
559	2415	245
560	2419	241
561	2421	236564	2407	221
